db_id	disease_name	gene_symbol	pmid
178469	Autosomal dominant non-syndromic intellectual disability	TCF4	22670824[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	SYNGAP1	23161826[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	KIRREL3	19012874[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	DOCK8	18060736[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	MBD5	23422940[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	GRIN2B	20890276[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	CDH15	19012874[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	KIF1A	21376300[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	GRIN1	21376300[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	DYNC1H1	22368300[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	CACNG2	21376300[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	EPB41L1	21376300[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	DEAF1	24726472[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	EEF1A2	24697219[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	CAMK2A	29100089[PMID]
178469	Autosomal dominant non-syndromic intellectual disability	CAMK2B	29100089[PMID]
178461	X-linked myopathy with postural muscle atrophy	FHL1	18179888[PMID]
178464	Hereditary myopathy with early respiratory failure	TTN	24575448[PMID]
178396	Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation	SERPINA1	19483159[PMID]
178400	Distal myopathy with anterior tibial onset	DYSF	19493611[PMID]
178389	Osteopetrosis-hypogammaglobulinemia syndrome	TNFRSF11A	18606301[PMID]
62	Alpha-sarcoglycan-related  limb-girdle muscular dystrophy R3	SGCA	19798725[PMID]_21856579[PMID]_20301582[PMID]
178364	Syndromic microphthalmia type 5	OTX2	15846561[PMID]_20396904[PMID]
715	Glycogen storage disease due to muscle phosphorylase kinase deficiency	PHKA1	
715	Glycogen storage disease due to muscle phosphorylase kinase deficiency	PHKG1	
178377	Osteosclerosis-developmental delay-craniosynostosis syndrome	LRP5	15940380[PMID]
348	Fructose-1,6-bisphosphatase deficiency	FBP1	9382095[PMID]_12126934[PMID]_24007283[PMID]
178345	Aromatase excess syndrome	CYP19A1	21470988[PMID]_22319526[PMID]_24064691[PMID]
178355	Smith-McCort dysplasia	DYM	15464420[PMID]_12491225[PMID]
178355	Smith-McCort dysplasia	RAB33B	22652534[PMID]
178338	UV-sensitive syndrome	ERCC6	15486090[PMID]
178338	UV-sensitive syndrome	ERCC8	19329487[PMID]
178338	UV-sensitive syndrome	UVSSA	22466610[PMID]_22466611[PMID]_22466612[PMID]
3435	NON RARE IN EUROPE: Vitiligo	NLRP1	17377159[PMID]
3435	NON RARE IN EUROPE: Vitiligo	FOXD3	16098053[PMID]_11912181[PMID]
178342	Inflammatory myofibroblastic tumor	TPM3	17063337[PMID]
178342	Inflammatory myofibroblastic tumor	ALK	17063337[PMID]
178342	Inflammatory myofibroblastic tumor	RANBP2	12661011[PMID]
178342	Inflammatory myofibroblastic tumor	CLTC	17656252[PMID]
178342	Inflammatory myofibroblastic tumor	CARS1	13679433[PMID]_12112524[PMID]
178342	Inflammatory myofibroblastic tumor	TPM4	10934142[PMID]
117	Behçet disease	IL10	20622878[PMID]_26015771[PMID]
117	Behçet disease	HLA-B	20622878[PMID]
117	Behçet disease	FAS	26136352[PMID]
117	Behçet disease	UBAC2	21918955[PMID]_22455605[PMID]
117	Behçet disease	IL23R	23633568[PMID]
117	Behçet disease	MEFV	23633568[PMID]
117	Behçet disease	STAT4	23001997[PMID]_26097239[PMID]
117	Behçet disease	C4A	23918728[PMID]
117	Behçet disease	IL12A	25799145[PMID]
117	Behçet disease	TLR4	23633568[PMID]
117	Behçet disease	CCR1	26097239[PMID]
117	Behçet disease	KLRC4	26097239[PMID]
117	Behçet disease	IL12A-AS1	26097239[PMID]
117	Behçet disease	ERAP1	26097239[PMID]
178509	Perry syndrome	DCTN1	
178506	Brain calcification, Rajab type	FARSB	30014610[PMID]
177926	Bleeding disorder in hemophilia A carriers without FVIII deficiency	F8	20301578[PMID]_25611311[PMID]_19302446[PMID]
177929	Bleeding disorder in hemophilia B carriers without FIX deficiency	F9	
666	Osteogenesis imperfecta	TENT5A	29358272[PMID]
666	Osteogenesis imperfecta	KDELR2	33053334[PMID]
666	Osteogenesis imperfecta	MBTPS2	27380894[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	SNORD115@	20301505[PMID]_22495932[PMID]_28296064[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	SNRPN	20301505[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	MAGEL2	20301505[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	NDN	20301505[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	OCA2	20301505[PMID]
177901	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	SNORD116@	20301505[PMID]_20588305[PMID]_22694955[PMID]
423	Malignant hyperthermia of anesthesia	CACNA1S	9175745[PMID]_9199552[PMID]_20301325[PMID]
423	Malignant hyperthermia of anesthesia	RYR1	20301325[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	SNORD115@	20301505[PMID]_22495932[PMID]_28296064[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	SNRPN	20301505[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	MAGEL2	20301505[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	NDN	20301505[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	OCA2	20301505[PMID]
177904	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	SNORD116@	20301505[PMID]_20588305[PMID]_22694955[PMID]
177907	Prader-Willi syndrome due to translocation	SNRPN	11159938[PMID]_12154412[PMID]_8845846[PMID]
177910	Prader-Willi syndrome due to imprinting mutation	SNORD115@	22495932[PMID]_20301505[PMID]_28296064[PMID]
177910	Prader-Willi syndrome due to imprinting mutation	SNRPN	9634532[PMID]
177910	Prader-Willi syndrome due to imprinting mutation	MAGEL2	20301505[PMID]
177910	Prader-Willi syndrome due to imprinting mutation	NDN	24039599[PMID]
177910	Prader-Willi syndrome due to imprinting mutation	SNORD116@	22495932[PMID]
388	Hirschsprung disease	ATP7A	33151932[PMID]
388	Hirschsprung disease	ABCD1	33151932[PMID]
388	Hirschsprung disease	ERBB2	33497358[PMID]
388	Hirschsprung disease	ERBB3	33497358[PMID]
388	Hirschsprung disease	SMO	32413283[PMID]
388	Hirschsprung disease	RET	31609069[PMID]
388	Hirschsprung disease	ECE1	20301612[PMID]
388	Hirschsprung disease	EDN3	20301612[PMID]
388	Hirschsprung disease	EDNRB	20301612[PMID]
388	Hirschsprung disease	GDNF	20301612[PMID]
388	Hirschsprung disease	NRTN	20301612[PMID]
388	Hirschsprung disease	SEMA3C	25839327[PMID]
388	Hirschsprung disease	SEMA3D	25839327[PMID]
388	Hirschsprung disease	SREBF1	33151932[PMID]
178333	Åland Islands eye disease	CACNA1F	17525176[PMID]
362	NON RARE IN EUROPE: Glucose-6-phosphate-dehydrogenase deficiency	G6PD	7577654[PMID]
760	Purine nucleoside phosphorylase deficiency	PNP	11453975[PMID]
270	Oculopharyngeal muscular dystrophy	PABPN1	20301305[PMID]
244	Primary ciliary dyskinesia	DNAH1	25927852[PMID]
244	Primary ciliary dyskinesia	TTC12	31820119[PMID]
244	Primary ciliary dyskinesia	NEK10	31959991[PMID]
244	Primary ciliary dyskinesia	DNAAF6	28041644[PMID]
244	Primary ciliary dyskinesia	CFAP221	31636325[PMID]
244	Primary ciliary dyskinesia	SPEF2	31545650[PMID]
244	Primary ciliary dyskinesia	DNAJB13	27486783[PMID]
244	Primary ciliary dyskinesia	ODAD4	27486780[PMID]
244	Primary ciliary dyskinesia	MCIDAS	25048963[PMID]
244	Primary ciliary dyskinesia	GAS2L2	30649222[PMID]
244	Primary ciliary dyskinesia	OFD1	
244	Primary ciliary dyskinesia	DNAH11	20301301[PMID]
244	Primary ciliary dyskinesia	DNAH5	20301301[PMID]
244	Primary ciliary dyskinesia	DNAI1	20301301[PMID]
244	Primary ciliary dyskinesia	NME8	20301301[PMID]
244	Primary ciliary dyskinesia	DNAI2	20301301[PMID]
244	Primary ciliary dyskinesia	DNAAF2	20301301[PMID]
244	Primary ciliary dyskinesia	RSPH9	20301301[PMID]
244	Primary ciliary dyskinesia	RSPH4A	20301301[PMID]
244	Primary ciliary dyskinesia	DNAAF1	20301301[PMID]
244	Primary ciliary dyskinesia	CCDC39	20301301[PMID]
244	Primary ciliary dyskinesia	CCDC40	20301301[PMID]
244	Primary ciliary dyskinesia	DNAL1	20301301[PMID]
244	Primary ciliary dyskinesia	DNAAF3	22387996[PMID]_20301301[PMID]
244	Primary ciliary dyskinesia	CCDC103	22581229[PMID]_20301301[PMID]
244	Primary ciliary dyskinesia	DNAAF5	23040496[PMID]_20301301[PMID]
244	Primary ciliary dyskinesia	HYDIN	23022101[PMID]_20301301[PMID]
244	Primary ciliary dyskinesia	DNAAF11	23122589[PMID]_20301301[PMID]
244	Primary ciliary dyskinesia	ODAD1	23261303[PMID]_23261302[PMID]
244	Primary ciliary dyskinesia	DRC1	23354437[PMID]
244	Primary ciliary dyskinesia	ODAD2	23849778[PMID]
244	Primary ciliary dyskinesia	DNAAF4	23872636[PMID]
244	Primary ciliary dyskinesia	RSPH1	23993197[PMID]
244	Primary ciliary dyskinesia	ZMYND10	23891471[PMID]_23891469[PMID]
244	Primary ciliary dyskinesia	CFAP298	24094744[PMID]
244	Primary ciliary dyskinesia	CCDC65	24094744[PMID]
244	Primary ciliary dyskinesia	SPAG1	24055112[PMID]
244	Primary ciliary dyskinesia	CCNO	24747639[PMID]_24824133[PMID]
244	Primary ciliary dyskinesia	ODAD3	25192045[PMID]
244	Primary ciliary dyskinesia	RSPH3	26073779[PMID]
244	Primary ciliary dyskinesia	GAS8	26387594[PMID]
244	Primary ciliary dyskinesia	RPGR	
244	Primary ciliary dyskinesia	STK36	28543983[PMID]
244	Primary ciliary dyskinesia	FOXJ1	31630787[PMID]
244	Primary ciliary dyskinesia	DNAH9	30471717[PMID]_30471718[PMID]
244	Primary ciliary dyskinesia	LRRC56	30388400[PMID]
244	Primary ciliary dyskinesia	CFAP300	29727692[PMID]_29727693[PMID]
178307	Reticulate acropigmentation of Kitamura	ADAM10	23666529[PMID]
805	Tuberous sclerosis complex	TSC1	20301399[PMID]
805	Tuberous sclerosis complex	TSC2	20301399[PMID]
178145	Moderate multiminicore disease with hand involvement	RYR1	20301467[PMID]_12112081[PMID]
791	Retinitis pigmentosa	SCAPER	28794130[PMID]
791	Retinitis pigmentosa	IFT88	29978320[PMID]
791	Retinitis pigmentosa	REEP6	27889058[PMID]
791	Retinitis pigmentosa	ARHGEF18	28132693[PMID]
791	Retinitis pigmentosa	KIAA1549	30120214[PMID]
791	Retinitis pigmentosa	AHI1	28442540[PMID]
791	Retinitis pigmentosa	AGBL5	26720455[PMID]
791	Retinitis pigmentosa	ABCA4	20301590[PMID]
791	Retinitis pigmentosa	PRCD	20301590[PMID]
791	Retinitis pigmentosa	PRPF3	20301590[PMID]
791	Retinitis pigmentosa	PRPF31	20301590[PMID]
791	Retinitis pigmentosa	PRPF8	20301590[PMID]
791	Retinitis pigmentosa	PRPH2	20301590[PMID]
791	Retinitis pigmentosa	RDH12	20301590[PMID]
791	Retinitis pigmentosa	RGR	20301590[PMID]
791	Retinitis pigmentosa	RHO	20301590[PMID]
791	Retinitis pigmentosa	RLBP1	20301590[PMID]
791	Retinitis pigmentosa	ROM1	20301590[PMID]
791	Retinitis pigmentosa	RP1	20301590[PMID]
791	Retinitis pigmentosa	RP2	
791	Retinitis pigmentosa	RP9	20301590[PMID]
791	Retinitis pigmentosa	RPE65	20301590[PMID]
791	Retinitis pigmentosa	RPGR	
791	Retinitis pigmentosa	SAG	20301590[PMID]
791	Retinitis pigmentosa	BBS2	25541840[PMID]
791	Retinitis pigmentosa	BEST1	20301590[PMID]
791	Retinitis pigmentosa	CA4	20301590[PMID]
791	Retinitis pigmentosa	CERKL	20301590[PMID]
791	Retinitis pigmentosa	TTC8	20301590[PMID]
791	Retinitis pigmentosa	TULP1	20301590[PMID]
791	Retinitis pigmentosa	USH2A	20301590[PMID]
791	Retinitis pigmentosa	CLRN1	20301590[PMID]
791	Retinitis pigmentosa	CNGA1	20301590[PMID]
791	Retinitis pigmentosa	CRB1	20301590[PMID]
791	Retinitis pigmentosa	CRX	20301590[PMID]
791	Retinitis pigmentosa	ARL6	20301590[PMID]
791	Retinitis pigmentosa	FSCN2	20301590[PMID]
791	Retinitis pigmentosa	HGSNAT	25859010[PMID]
791	Retinitis pigmentosa	IMPDH1	20301590[PMID]
791	Retinitis pigmentosa	MERTK	20301590[PMID]
791	Retinitis pigmentosa	NR2E3	20301590[PMID]
791	Retinitis pigmentosa	NRL	20301590[PMID]
791	Retinitis pigmentosa	OFD1	22619378[PMID]
791	Retinitis pigmentosa	PDE6A	20301590[PMID]
791	Retinitis pigmentosa	PDE6B	20301590[PMID]
791	Retinitis pigmentosa	SEMA4A	20301590[PMID]
791	Retinitis pigmentosa	CNGB1	20301590[PMID]
791	Retinitis pigmentosa	TOPORS	20301590[PMID]
791	Retinitis pigmentosa	PROM1	20301590[PMID]
791	Retinitis pigmentosa	LRAT	18055821[PMID]_20301590[PMID]
791	Retinitis pigmentosa	EYS	20301590[PMID]
791	Retinitis pigmentosa	IDH3B	20301590[PMID]
791	Retinitis pigmentosa	SPATA7	19268277[PMID]_20301590[PMID]
791	Retinitis pigmentosa	GUCA1B	20301590[PMID]
791	Retinitis pigmentosa	KLHL7	20301590[PMID]
791	Retinitis pigmentosa	SNRNP200	20301590[PMID]
791	Retinitis pigmentosa	PCARE	20301590[PMID]
791	Retinitis pigmentosa	PDE6G	20301590[PMID]
791	Retinitis pigmentosa	IMPG2	20301590[PMID]
791	Retinitis pigmentosa	FAM161A	20301590[PMID]
791	Retinitis pigmentosa	ZNF513	20301590[PMID]
791	Retinitis pigmentosa	CDHR1	20087419[PMID]
791	Retinitis pigmentosa	DHDDS	20301590[PMID]
791	Retinitis pigmentosa	PRPF6	20301590[PMID]
791	Retinitis pigmentosa	MAK	20301590[PMID]
791	Retinitis pigmentosa	RBP3	20301590[PMID]_19074801[PMID]
791	Retinitis pigmentosa	CFAP418	22177090[PMID]_20301590[PMID]
791	Retinitis pigmentosa	IFT140	26216056[PMID]
791	Retinitis pigmentosa	ZNF408	25882705[PMID]
791	Retinitis pigmentosa	ARL2BP	23849777[PMID]
791	Retinitis pigmentosa	NEK2	24043777[PMID]
791	Retinitis pigmentosa	IFT172	25168386[PMID]
791	Retinitis pigmentosa	TUB	24375934[PMID]
791	Retinitis pigmentosa	KIZ	24680887[PMID]
791	Retinitis pigmentosa	SLC7A14	24670872[PMID]
791	Retinitis pigmentosa	PRPF4	24419317[PMID]
791	Retinitis pigmentosa	RP1L1	31833436[PMID]
791	Retinitis pigmentosa	AHR	29726989[PMID]
791	Retinitis pigmentosa	IDH3A	28412069[PMID]
791	Retinitis pigmentosa	DHX38	30208423[PMID]
791	Retinitis pigmentosa	ARL3	26964041[PMID]
791	Retinitis pigmentosa	POMGNT1	26908613[PMID]
2131	Alternating hemiplegia of childhood	CACNA1A	18498393[PMID]
2131	Alternating hemiplegia of childhood	ATP1A2	15286158[PMID]
2131	Alternating hemiplegia of childhood	ATP1A3	22842232[PMID]
2131	Alternating hemiplegia of childhood	SLC1A3	
713	Glycogen storage disease due to phosphoglycerate kinase 1 deficiency	PGK1	1547346[PMID]
57	Glycogen storage disease due to aldolase A deficiency	ALDOA	
2334	Autosomal dominant keratitis	PAX6	7668281[PMID]
46	Adenylosuccinate lyase deficiency	ADSL	18524658[PMID]
3166	Sialuria	GNE	20301343[PMID]
2882	Sitosterolemia	ABCG5	11138003[PMID]_23556150[PMID]
2882	Sitosterolemia	ABCG8	11099417[PMID]_23556150[PMID]
900	Granulomatosis with polyangiitis	HLA-DPA1	28029757[PMID]
900	Granulomatosis with polyangiitis	HLA-DPB1	23740775[PMID]
900	Granulomatosis with polyangiitis	CTLA4	22508400[PMID]
900	Granulomatosis with polyangiitis	PTPN22	22508400[PMID]_22696186[PMID]
900	Granulomatosis with polyangiitis	PRTN3	22808956[PMID]
171695	Parkinsonian-pyramidal syndrome	SNCA	23526723[PMID]
171695	Parkinsonian-pyramidal syndrome	FBXO7	19038853[PMID]
134	Beta-ketothiolase deficiency	ACAT1	23430882[PMID]
171700	Diffuse panbronchiolitis	MUCL3	
171700	Diffuse panbronchiolitis	MUC5B	
171703	Microcephaly-polymicrogyria-corpus callosum agenesis syndrome	DISC1	21739582[PMID]
171703	Microcephaly-polymicrogyria-corpus callosum agenesis syndrome	EOMES	17353897[PMID]
171706	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	SECISBP2	16228000[PMID]_19602558[PMID]
171709	Male infertility due to globozoospermia	GOPC	22049801[PMID]
171709	Male infertility due to globozoospermia	SPATA16	17847006[PMID]_22571172[PMID]
171709	Male infertility due to globozoospermia	DPY19L2	21397063[PMID]_22571172[PMID]
171709	Male infertility due to globozoospermia	PICK1	20562896[PMID]_22571172[PMID]
171723	White sponge nevus	KRT4	10652003[PMID]_12828738[PMID]_23182699[PMID]
171723	White sponge nevus	KRT13	7493031[PMID]_10561721[PMID]_11379896[PMID]_14600690[PMID]
171680	Lissencephaly due to TUBA1A mutation	TUBA1A	18669490[PMID]_18954413[PMID]_22264709[PMID]
171690	Metabolic myopathy due to lactate transporter defect	SLC16A1	10590411[PMID]
171863	Autosomal dominant spastic paraplegia type 42	SLC33A1	19061983[PMID]
171871	Renal pseudohypoaldosteronism type 1	NR3C2	16757525[PMID]_19571553[PMID]
171866	Spondyloepimetaphyseal dysplasia, aggrecan type	ACAN	19110214[PMID]
171881	Cap myopathy	MYPN	28220527[PMID]
171881	Cap myopathy	TPM2	20301465[PMID]_17846275[PMID]
171881	Cap myopathy	TPM3	20554445[PMID]
2512	Autosomal recessive primary microcephaly	CIT	27453578[PMID]
2512	Autosomal recessive primary microcephaly	NCAPD3	27737959[PMID]
2512	Autosomal recessive primary microcephaly	COPB2	29036432[PMID]
2512	Autosomal recessive primary microcephaly	METTL5	31564433[PMID]
2512	Autosomal recessive primary microcephaly	TRAPPC14	30715179[PMID]
2512	Autosomal recessive primary microcephaly	KIF14	28892560[PMID]
2512	Autosomal recessive primary microcephaly	TAF13	28257693[PMID]
2512	Autosomal recessive primary microcephaly	PYCR2	27860360[PMID]
2512	Autosomal recessive primary microcephaly	CDK5RAP2	
2512	Autosomal recessive primary microcephaly	CENPJ	
2512	Autosomal recessive primary microcephaly	ASPM	
2512	Autosomal recessive primary microcephaly	MCPH1	
2512	Autosomal recessive primary microcephaly	STIL	
2512	Autosomal recessive primary microcephaly	WDR62	
2512	Autosomal recessive primary microcephaly	CEP152	
2512	Autosomal recessive primary microcephaly	CEP63	
2512	Autosomal recessive primary microcephaly	CEP135	
2512	Autosomal recessive primary microcephaly	KNL1	
2512	Autosomal recessive primary microcephaly	PHC1	
2512	Autosomal recessive primary microcephaly	CDK6	23918663[PMID]
2512	Autosomal recessive primary microcephaly	SASS6	24951542[PMID]
2512	Autosomal recessive primary microcephaly	MFSD2A	26005865[PMID]_26005868[PMID]
2512	Autosomal recessive primary microcephaly	ANKLE2	25259927[PMID]
171876	Generalized pseudohypoaldosteronism type 1	SCNN1A	19571553[PMID]_23416952[PMID]_23762408[PMID]
171876	Generalized pseudohypoaldosteronism type 1	SCNN1B	19571553[PMID]_23426840[PMID]
171876	Generalized pseudohypoaldosteronism type 1	SCNN1G	11231969[PMID]_19571553[PMID]
797	Sarcoidosis	BTNL2	15735647[PMID]
797	Sarcoidosis	HLA-DRB1	22991420[PMID]
171829	6q16 microdeletion syndrome	SIM1	24038875[PMID]
171851	MEDNIK syndrome	AP1B1	31630791[PMID]
171851	MEDNIK syndrome	AP1S1	19057675[PMID]
171848	Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome	ABHD12	20797687[PMID]
3303	Tetralogy of Fallot	ZFPM2	24702427[PMID]_14517948[PMID]
3303	Tetralogy of Fallot	GATA4	24000169[PMID]
3303	Tetralogy of Fallot	JAG1	21893051[PMID]
3303	Tetralogy of Fallot	NKX2-5	29045289[PMID]
3303	Tetralogy of Fallot	GATA5	23289003[PMID]
3303	Tetralogy of Fallot	GJA5	22713807[PMID]
3303	Tetralogy of Fallot	NKX2-6	25195019[PMID]
3303	Tetralogy of Fallot	GDF1	
3303	Tetralogy of Fallot	CITED2	
3303	Tetralogy of Fallot	GATA6	20581743[PMID]
3303	Tetralogy of Fallot	FLT4	30232381[PMID]
3303	Tetralogy of Fallot	TBX1	20937753[PMID]
200418	Immunodeficiency with factor I anomaly	CFI	
730	Autosomal dominant polycystic kidney disease	GANAB	27259053[PMID]
730	Autosomal dominant polycystic kidney disease	ALG9	31395617[PMID]
730	Autosomal dominant polycystic kidney disease	DNAJB11	29706351[PMID]
730	Autosomal dominant polycystic kidney disease	PKD1	20301424[PMID]
730	Autosomal dominant polycystic kidney disease	PKD2	20301424[PMID]
730	Autosomal dominant polycystic kidney disease	BICC1	21922595[PMID]
200421	Immunodeficiency with factor H anomaly	CFH	
486	Autosomal dominant severe congenital neutropenia	TCIRG1	24753205[PMID]
486	Autosomal dominant severe congenital neutropenia	ELANE	
486	Autosomal dominant severe congenital neutropenia	GFI1	12778173[PMID]
486	Autosomal dominant severe congenital neutropenia	SRP54	29914977[PMID]
98	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	SACS	20301432[PMID]
1480	NON RARE IN EUROPE: Ventricular septal defect	CITED2	16287137[PMID]
1480	NON RARE IN EUROPE: Ventricular septal defect	GATA5	22961344[PMID]_22483626[PMID]
1480	NON RARE IN EUROPE: Ventricular septal defect	GATA4	21110066[PMID]_18055909[PMID]_22101736[PMID]
1480	NON RARE IN EUROPE: Ventricular septal defect	NKX2-5	21110066[PMID]_21165553[PMID]
1480	NON RARE IN EUROPE: Ventricular septal defect	NKX2-6	25380965[PMID]
330	Congenital factor XII deficiency	F12	20386432[PMID]_22043782[PMID]
199340	Muscular dystrophy, Selcen type	BAG3	19085932[PMID]
199337	Pancreatic insufficiency-anemia-hyperostosis syndrome	COX4I2	
234	Dubin-Johnson syndrome	ABCC2	
199348	Thiamine-responsive encephalopathy	SLC19A3	19387023[PMID]
3287	Takayasu arteritis	HLA-B	23830516[PMID]_23830507[PMID]
3287	Takayasu arteritis	IL12B	23830516[PMID]_23830507[PMID]
3287	Takayasu arteritis	MLX	23830516[PMID]_23830507[PMID]
199343	EAST syndrome	KCNJ10	19289823[PMID]_20301317[PMID]
199326	Isolated autosomal dominant hypomagnesemia, Glaudemans type	KCNA1	19307729[PMID]
199332	Endocrine-cerebro-osteodysplasia syndrome	CILK1	19185282[PMID]
199329	Congenital myopathy, Paradas type	DYSF	19084402[PMID]
2665	Congenital mesoblastic nephroma	ETV6	12165445[PMID]_16681692[PMID]
2665	Congenital mesoblastic nephroma	NTRK3	12165445[PMID]_16681692[PMID]
3463	Wolfram syndrome	WFS1	16806192[PMID]_12913071[PMID]
3463	Wolfram syndrome	CISD2	
199354	Cerebral autosomal recessive arteriopathy-subcortical infarcts-leukoencephalopathy	HTRA1	20437615[PMID]_22900900[PMID]_21482952[PMID]_21115960[PMID]_19387015[PMID]
199351	Adult-onset dystonia-parkinsonism	PLA2G6	
356	Gerstmann-Straussler-Scheinker syndrome	PRNP	20301407[PMID]
466	Fatal familial insomnia	PRNP	20301407[PMID]
3452	Whipple disease	IRF4	29537367[PMID]
199285	Hereditary hypercarotenemia and vitamin A deficiency	BCO1	17951468[PMID]
2102	GTP cyclohydrolase I deficiency	GCH1	
3002	Immune thrombocytopenia	FCGR2C	17827395[PMID]
199318	15q13.3 microdeletion syndrome	CHRNA7	22775350[PMID]
274	Bernard-Soulier syndrome	GP1BA	22886561[PMID]
274	Bernard-Soulier syndrome	GP1BB	22886561[PMID]
274	Bernard-Soulier syndrome	GP9	22886561[PMID]
1195	Congenital atransferrinemia	TF	
199302	Isolated cleft lip	TP63	16740912[PMID]_21567929[PMID]
199302	Isolated cleft lip	IRF6	17438386[PMID]
199302	Isolated cleft lip	NECTIN1	16674562[PMID]
199302	Isolated cleft lip	MSX1	12807959[PMID]
199306	Cleft lip/palate	ARHGAP29	27350171[PMID]
199306	Cleft lip/palate	TP63	16740912[PMID]_21567929[PMID]
199306	Cleft lip/palate	BMP4	22978696[PMID]
199306	Cleft lip/palate	NECTIN1	16674562[PMID]
199306	Cleft lip/palate	CDH1	23197654[PMID]
199306	Cleft lip/palate	IRF6	17438386[PMID]
199306	Cleft lip/palate	MSX1	12807959[PMID]
199306	Cleft lip/palate	DLG1	28926086[PMID]
199306	Cleft lip/palate	DLX4	25954033[PMID]
926	Acatalasemia	CAT	11001624[PMID]
199296	Congenital isolated ACTH deficiency	TBX19	15476446[PMID]_15613420[PMID]
1675	Dihydropyrimidine dehydrogenase deficiency	DPYD	
189427	Cushing syndrome due to macronodular adrenal hyperplasia	GNAS	12727968[PMID]
189427	Cushing syndrome due to macronodular adrenal hyperplasia	ARMC5	24283224[PMID]
976	Adenine phosphoribosyltransferase deficiency	APRT	22934314[PMID]_22700886[PMID]
3129	Sarcosinemia	SARDH	22825317[PMID]
415	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	SLC25A15	22649802[PMID]
13	6-pyruvoyl-tetrahydropterin synthase deficiency	PTS	
171	Primary sclerosing cholangitis	SEMA4D	33627483[PMID]
171	Primary sclerosing cholangitis	GPR35	22821403[PMID]
171	Primary sclerosing cholangitis	MST1	21151127[PMID]
171	Primary sclerosing cholangitis	TCF4	22821403[PMID]
199247	Corticosteroid-binding globulin deficiency	SERPINA6	12780753[PMID]
199241	Pulmonary capillary hemangiomatosis	EIF2AK4	24135949[PMID]
189466	Familial isolated hypoparathyroidism due to impaired PTH secretion	PTH	2212001[PMID]_10523031[PMID]_22722080[PMID]
189466	Familial isolated hypoparathyroidism due to impaired PTH secretion	AIRE	28323927[PMID]
17	Fatal infantile lactic acidosis with methylmalonic aciduria	SUCLG1	19526370[PMID]_21639866[PMID]
189439	Primary pigmented nodular adrenocortical disease	PRKAR1A	24805858[PMID]
189439	Primary pigmented nodular adrenocortical disease	PDE11A	16767104[PMID]
189439	Primary pigmented nodular adrenocortical disease	PDE8B	18431404[PMID]
189439	Primary pigmented nodular adrenocortical disease	PRKACA	24571724[PMID]
3006	Pyridoxine-dependent epilepsy	ALDH7A1	20301659[PMID]
3006	Pyridoxine-dependent epilepsy	SLC13A5	27912044[PMID]
3006	Pyridoxine-dependent epilepsy	PLPBP	27912044[PMID]
3111	Rotor syndrome	SLCO1B1	22232210[PMID]_23236639[PMID]
3111	Rotor syndrome	SLCO1B3	22232210[PMID]_23236639[PMID]
2382	Lennox-Gastaut syndrome	CUX2	29630738[PMID]
2382	Lennox-Gastaut syndrome	SCN1A	17347258[PMID]_20301494[PMID]_19782004[PMID]
2382	Lennox-Gastaut syndrome	MAPK10	16249883[PMID]
2382	Lennox-Gastaut syndrome	CHD2	23708187[PMID]
2382	Lennox-Gastaut syndrome	DNM1	25262651[PMID]_25533962[PMID]
2382	Lennox-Gastaut syndrome	GABRB3	23934111[PMID]_27476654[PMID]
2382	Lennox-Gastaut syndrome	CACNA1A	31468518[PMID]
2382	Lennox-Gastaut syndrome	CACNA1A	31468518[PMID]
